"SUBURB_NUM","suburb","postcode","lonmin","latmin","lonmax","latmax"
557501,"PORT RICKABY","5575",137.48782802,-34.7077894,137.525723,-34.628319
557502,"KOOLYWURTIE","5575",137.5196054,-34.72167149,137.6568461,-34.6274488
557503,"MARION BAY","5575",136.9103003,-35.25327138,137.1634503,-35.09165057
557504,"BLUFF BEACH","5575",137.47697205,-34.7504685,137.5197087,-34.7076522
557505,"MINLATON","5575",137.45742867,-34.89595099,137.6569702,-34.7160144
557506,"RAMSAY","5575",137.6568754,-34.8957236,137.8142914,-34.7504434
557507,"BRENTWOOD","5575",137.45579775,-34.8960624,137.5723073,-34.8364863
557508,"HARDWICKE BAY","5575",137.43413325,-34.9254152,137.496532,-34.87531193
557509,"WOOL BAY","5575",137.68746991,-35.01338449,137.78527375,-34.9401567
557510,"CORNY POINT","5575",136.95672029,-35.0107561,137.12802453,-34.89284297
557512,"POINT TURTON","5575",137.2976425,-34.9701905,137.4010851,-34.92006723
557513,"WHITE HUT","5575",136.92933312,-35.091888,137.1281633,-34.98957228
557601,"YORKETOWN","5576",137.4918965,-35.0909571,137.7259037,-34.8956076
557602,"PORT MOOROWIE","5576",137.46963252,-35.13180132,137.5849561,-35.0729283
557603,"HONITON","5576",137.5787084,-35.16899921,137.68840066,-35.0516745
557701,"WAROOKA","5577",137.12769934,-35.12816734,137.5273098,-34.92439883
557702,"INNESTON","5577",136.82128546,-35.30094672,136.97080852,-35.15287821
557703,"FOUL BAY","5577",137.10664399,-35.23857594,137.36215335,-35.0699679
557704,"COUCH BEACH","5577",137.17183671,-34.91538903,137.17962845,-34.90712422
557705,"POINT SOUTTAR","5577",137.21498757,-34.96914919,137.3221209,-34.89302637
557706,"THE PINES","5577",137.12592152,-34.9704486,137.21529,-34.89977937
558001,"CURRAMULKA","5580",137.6567571,-34.7504975,137.8555414,-34.5843105
558002,"PORT JULIA","5580",137.8409909,-34.67750499,137.90244781,-34.62742966
558101,"SHEAOAK FLAT","5581",137.8487323,-34.7120522,137.88133644,-34.6763264
558102,"PORT VINCENT","5581",137.7747401,-34.85259497,137.87430353,-34.70684225
558201,"STANSBURY","5582",137.7026964,-34.9414861,137.8135316,-34.8354063
558301,"COOBOWIE","5583",137.6874835,-35.0711044,137.76535777,-35.01315252
558302,"EDITHBURGH","5583",137.6876479,-35.14861977,137.74945029,-35.0516251
558303,"SULTANA POINT","5583",137.71631997,-35.1356562,137.76061655,-35.10279377
560001,"SECRET ROCKS","5600",136.8106388,-33.3273063,136.9781324,-33.165772
560002,"WHYALLA","5600",137.5629333,-33.05192477,137.59539801,-33.0245107
560003,"WHYALLA PLAYFORD","5600",137.55111711,-33.04063348,137.572248,-33.01738741
560004,"GILLES DOWNS","5600",136.81102154,-33.02895145,137.02680762,-32.80123906
560005,"LAKE GILLES","5600",136.5628952,-33.1250608,136.92315651,-32.6659134
